State,County,Urban,TOTALPOP,PERCENT_LOWA_Pop,LOWA_POP,PERCENT_LOWI,LOWI,PERCENT_HUNV,HUNV,PERCENT_KIDS,KIDS,PERCENT_SENIORS,SENIORS
TX,Bexar,Yes,3316,30.6,1016,15.8,410,21.6,347,1.6,54,4.5,151
TX,Borden,No,729,100,729,14,102,1.4,4,24.6,179,16.3,119
TX,Bosque,No,4039,21.9,884,3.4,138,0.6,9,5.8,232,3.1,127
TX,Bowie,Yes,4183,96.7,4046,30.6,1277,15.3,255,27.1,1133,14.1,591
TX,Brazoria,Yes,5780,100,5779,13.5,779,3.7,68,32.3,1866,7.5,433
TX,Brazos,Yes,5868,100,5868,24.5,1433,4.8,127,20.1,1179,2.8,166
TX,Brewster,No,554,99.5,551,20.8,114,9.3,21,21.7,120,17.7,98
TX,Briscoe,No,1790,100,1790,16,286,5.7,41,27.1,485,19.3,345
TX,Burnet,Yes,5145,100,5145,13.4,689,4.3,87,24.9,1280,19.6,1008
TX,Camp,Yes,4734,44.8,2119,11.7,531,6.4,112,13.9,656,7.4,352
TX,Childress,Yes,5243,18.6,974,2.8,141,1.7,36,4.9,256,3.8,198
TX,Cochran,No,3730,21.7,808,4.5,163,0.5,7,6.9,258,2.6,96
TX,Coke,No,1907,99.9,1905,14,260,6,49,22.4,426,25.9,494
TX,Coleman,No,1497,49.6,742,5.7,81,0.4,2,9.8,147,11.9,177
TX,Collin,Yes,6510,69.6,4533,18.6,1173,9.8,176,22,1434,5.6,361
TX,Colorado,No,2234,71.3,1593,15.6,337,8.4,72,18.2,407,13.5,301
TX,Comal,Yes,5591,15.3,855,1.8,91,0.4,7,3.2,181,1.1,62
TX,Coryell,Yes,5064,41.6,2107,5.5,272,2.7,51,11.8,600,2.6,133
TX,Cottle,No,1904,99.9,1901,18.4,342,9.9,81,23.9,456,25.6,487
TX,Deaf Smith,Yes,5474,77.4,4236,16.9,922,9,166,27.9,1527,8.1,445
TX,Dickens,No,2762,18.7,516,3,67,1,10,3.9,109,4.2,116
TX,Dimmit,No,815,97.3,793,45.5,358,13.4,37,30.1,245,15.7,128
TX,Eastland,No,1789,71.1,1272,11.6,202,4.9,37,14.8,265,18.1,325
TX,Ector,Yes,2786,100,2786,21,584,5.7,59,29.4,818,11.2,313
TX,Erath,Yes,3340,100,3340,24.9,790,9.9,146,20.6,689,15.6,521
TX,Falls,Yes,3959,25.6,1015,6.3,240,2.8,44,8.1,319,5.2,205
TX,Fisher,No,1904,34.6,658,5.1,95,1.2,10,6.8,130,8.7,165
TX,Foard,No,1622,100,1622,14.3,225,7.5,50,25.8,419,23.1,375
TX,Fort Bend,Yes,6394,87,5564,25.3,1596,16.2,252,28.8,1840,5.7,363
TX,Freestone,Yes,4393,13.4,589,3,91,1.9,24,3.7,163,1.9,85
TX,Gaines,Yes,5060,25.9,1312,5.1,252,1.2,20,8.1,408,3,150
TX,Galveston,Yes,2510,100,2510,23.2,589,12.9,121,29,728,11,277
TX,Gonzales,No,2533,59.4,1506,13.2,332,6.6,63,15.7,398,10.9,277
TX,Gray,Yes,1582,32.6,516,8.4,127,0,0,10,158,5.2,82
TX,Gregg,Yes,6556,45.8,3005,6.9,444,1.4,33,13.8,906,3.8,252
TX,Grimes,No,2870,31.6,907,4,116,2.1,22,8.2,234,3.2,92
TX,Hale,Yes,5653,56.7,3205,14.7,829,4,71,20.9,1182,5.2,296
TX,Harris,Yes,6099,46,2803,8.2,502,4.2,88,12.5,762,6.2,377
TX,Hays,Yes,5656,17.3,977,22.9,314,2.4,16,1.5,87,1.2,67
TX,Hockley,No,1572,97.9,1538,24,377,8.7,48,31.6,497,13.5,213
TX,Hood,Yes,4207,35.1,1478,3.2,123,2.4,41,7.7,322,6.7,280
TX,Hudspeth,No,2572,100,2571,41.1,1039,7.6,62,35.8,921,9.7,249
TX,Hunt,No,2302,70.4,1620,10.5,236,5.4,48,18.9,436,13.3,306
TX,Jack,No,1153,85.1,981,11.2,129,5.6,26,21.4,247,14.4,166
TX,Jim Wells,Yes,3845,23.6,909,5.3,194,0.6,7,6.5,250,3.3,126
TX,Karnes,Yes,7412,65.7,4869,12.3,542,3.1,53,6.9,512,5.4,402
TX,Kaufman,Yes,4528,11.7,532,1.6,71,1,16,3.3,151,1.1,51
TX,Kendall,No,5507,18.8,1038,2.9,155,0.5,9,4.4,243,2.8,154
TX,Kenedy,No,414,99.5,412,15.3,61,16.6,23,29.1,120,10.6,44
TX,Kerr,Yes,5343,30.3,1618,7,371,4.9,109,6.9,369,8.7,466
TX,King,No,356,100,356,20.7,67,1.9,2,33.7,120,10.4,37
TX,Kinney,No,3379,95.3,3221,22.9,767,7.3,96,24.7,833,23.4,792
TX,Kleberg,No,5400,28.7,1550,5.8,302,2,35,7.7,415,4.7,254
TX,Lamar,No,6136,39.4,2416,4.9,294,2,47,9.7,598,6.9,422
TX,Lavaca,No,2548,52.5,1338,5.8,145,2.9,30,12.2,310,14,357
TX,Lipscomb,No,1240,100,1240,15.8,195,5.9,32,23.1,287,22,273
TX,Llano,No,2584,53.7,1388,9.1,238,2.8,34,6.7,174,17.4,449
TX,Lubbock,Yes,2661,100,2661,18.1,421,5.7,49,31.7,843,13,347
TX,Lynn,No,2132,42.1,897,8.4,177,0.9,7,14.3,305,4.6,99
TX,McCulloch,No,1323,71.5,946,16.4,214,2.4,13,15.7,208,15.4,204
