FIPS,State,County,PC_SNAPBEN,SNAP_PART_RATE,SNAP_OAPP,SNAP_FACEWAIVER,SNAP_VEHEXCL,SNAP_BBCE,SNAP_REPORTSIMPLE,PCT_FREE_LUNCH,PCT_REDUCED_LUNCH,PCT_WIC
1001,AL,Autauga,17.9052724,89.184,1,1,1,1,1,,,2.719352152
1003,AL,Baldwin,14.15713421,89.184,1,1,1,1,1,36.75643875,5.082363708,2.719352152
1005,AL,Barbour,31.63304149,89.184,1,1,1,1,1,63.93180607,3.436334576,2.719352152
1007,AL,Bibb,19.4731321,89.184,1,1,1,1,1,54.33422699,9.115281501,2.719352152
1009,AL,Blount,15.79513142,89.184,1,1,1,1,1,44.98797951,8.090310442,2.719352152
1011,AL,Bullock,35.27817631,89.184,1,1,1,1,1,63.85780118,0,2.719352152
1013,AL,Butler,31.25724602,89.184,1,1,1,1,1,65.84142902,5.327483547,2.719352152
1015,AL,Calhoun,26.82265689,89.184,1,1,1,1,1,53.56871456,7.160811364,2.719352152
1017,AL,Chambers,27.34531818,89.184,1,1,1,1,1,65.34928434,7.306131169,2.719352152
1019,AL,Cherokee,22.34768976,89.184,1,1,1,1,1,51.14899926,10.7734124,2.719352152
1021,AL,Chilton,22.67989074,89.184,1,1,1,1,1,50.01312336,7.152230971,2.719352152
1023,AL,Choctaw,31.48120092,89.184,1,1,1,1,1,64.50793651,3.873015873,2.719352152
1025,AL,Clarke,31.08064386,89.184,1,1,1,1,1,52.06438069,3.21903429,2.719352152
1027,AL,Clay,16.30850932,89.184,1,1,1,1,1,54.35745938,10.43820778,2.719352152
1029,AL,Cleburne,18.7939006,89.184,1,1,1,1,1,,,2.719352152
1031,AL,Coffee,17.94515272,89.184,1,1,1,1,1,40.45280678,6.23384679,2.719352152
1033,AL,Colbert,19.49841913,89.184,1,1,1,1,1,44.72855065,7.283082889,2.719352152
1035,AL,Conecuh,35.66325316,89.184,1,1,1,1,1,78.54330709,3.871391076,2.719352152
1037,AL,Coosa,21.4590936,89.184,1,1,1,1,1,,,2.719352152
1039,AL,Covington,25.61226025,89.184,1,1,1,1,1,51.59993568,7.65396366,2.719352152
1041,AL,Crenshaw,27.30734121,89.184,1,1,1,1,1,,,2.719352152
1043,AL,Cullman,15.93715133,89.184,1,1,1,1,1,51.29824561,1.676413255,2.719352152
1045,AL,Dale,26.82128148,89.184,1,1,1,1,1,55.95032228,6.241157051,2.719352152
1047,AL,Dallas,51.45542432,89.184,1,1,1,1,1,69.64108384,0,2.719352152
1049,AL,DeKalb,25.88526114,89.184,1,1,1,1,1,59.08228109,5.834777585,2.719352152
1051,AL,Elmore,18.19037889,89.184,1,1,1,1,1,44.93877861,7.148832611,2.719352152
1053,AL,Escambia,30.81132524,89.184,1,1,1,1,1,,,2.719352152
1055,AL,Etowah,17.51917413,89.184,1,1,1,1,1,51.84072126,9.153518658,2.719352152
1057,AL,Fayette,27.53194204,89.184,1,1,1,1,1,49.05349794,9.012345679,2.719352152
1059,AL,Franklin,24.99841481,89.184,1,1,1,1,1,58.43302443,10.86773378,2.719352152
1061,AL,Geneva,26.59004547,89.184,1,1,1,1,1,55.1826793,6.441136671,2.719352152
